Marks,Interest,Skill,Hobby,Personality,IQ,Career,Sector
93,Commerce,Analysis,Music,Introvert,87,Chartered Accountant,Private
95,Tech,Communication,Reading,Extrovert,87,AI Engineer,Private
64,Commerce,Analysis,Reading,Ambivert,97,Auditor,Private
59,Arts,Creativity,Drawing,Extrovert,108,Writer,Private
74,Medical,Communication,Drawing,Extrovert,112,Surgeon,Private
69,Tech,Analysis,Music,Introvert,105,Government IT Officer,Public
56,Commerce,Coding,Sports,Introvert,140,Chartered Accountant,Private
68,Arts,Analysis,Music,Extrovert,113,Civil Services,Public
89,Medical,Communication,Sports,Extrovert,85,Government Doctor,Public
98,Tech,Communication,Reading,Extrovert,105,AI Engineer,Private
82,Medical,Coding,Sports,Introvert,139,Surgeon,Private
88,Arts,Analysis,Gaming,Ambivert,102,Designer,Private
92,Medical,Coding,Sports,Ambivert,135,Surgeon,Private
62,Medical,Coding,Gaming,Introvert,104,Nurse,Private
85,Tech,Coding,Drawing,Introvert,112,Software Engineer,Private
61,Tech,Creativity,Music,Introvert,103,Government IT Officer,Public
77,Arts,Analysis,Gaming,Introvert,110,Writer,Private
71,Commerce,Creativity,Drawing,Ambivert,92,Chartered Accountant,Private
70,Medical,Communication,Gaming,Extrovert,133,Doctor,Private
54,Tech,Creativity,Sports,Ambivert,100,Web Developer,Private
64,Tech,Analysis,Music,Extrovert,84,Government IT Officer,Public
63,Commerce,Analysis,Music,Ambivert,134,Auditor,Private
69,Medical,Communication,Gaming,Extrovert,120,Surgeon,Private
85,Tech,Communication,Sports,Ambivert,123,Government IT Officer,Public
82,Tech,Coding,Gaming,Ambivert,125,Government IT Officer,Public
98,Medical,Analysis,Music,Extrovert,133,Doctor,Private
89,Commerce,Creativity,Sports,Introvert,139,Bank Officer,Public
79,Medical,Analysis,Sports,Ambivert,120,Doctor,Private
85,Arts,Creativity,Reading,Extrovert,121,Designer,Private
68,Medical,Analysis,Drawing,Extrovert,103,Surgeon,Private
96,Medical,Creativity,Drawing,Introvert,86,Nurse,Private
91,Medical,Analysis,Gaming,Extrovert,138,Doctor,Private
92,Medical,Creativity,Gaming,Extrovert,97,Government Doctor,Public
76,Arts,Creativity,Music,Extrovert,120,Animator,Private
70,Tech,Creativity,Reading,Introvert,123,Web Developer,Private
69,Tech,Communication,Music,Ambivert,101,Government IT Officer,Public
91,Commerce,Creativity,Gaming,Extrovert,81,Auditor,Private
67,Commerce,Creativity,Drawing,Extrovert,134,Financial Analyst,Private
78,Commerce,Communication,Music,Introvert,82,Chartered Accountant,Private
62,Tech,Creativity,Reading,Ambivert,101,Web Developer,Private
61,Tech,Coding,Music,Introvert,118,Web Developer,Private
83,Arts,Communication,Music,Extrovert,133,Writer,Private
99,Arts,Coding,Music,Extrovert,96,Writer,Private
81,Arts,Analysis,Gaming,Extrovert,93,Civil Services,Public
64,Medical,Coding,Drawing,Introvert,139,Government Doctor,Public
82,Medical,Creativity,Reading,Introvert,134,Surgeon,Private
75,Commerce,Coding,Drawing,Ambivert,136,Bank Officer,Public
70,Arts,Communication,Gaming,Extrovert,104,Writer,Private
80,Medical,Communication,Reading,Introvert,108,Nurse,Private
73,Tech,Creativity,Music,Introvert,98,Software Engineer,Private
65,Tech,Coding,Drawing,Introvert,108,AI Engineer,Private
88,Medical,Coding,Sports,Extrovert,128,Doctor,Private
90,Commerce,Creativity,Drawing,Extrovert,130,Auditor,Private
53,Commerce,Creativity,Gaming,Extrovert,129,Auditor,Private
56,Arts,Communication,Drawing,Ambivert,138,Designer,Private
64,Commerce,Creativity,Gaming,Ambivert,101,Financial Analyst,Private
82,Medical,Analysis,Reading,Introvert,103,Surgeon,Private
53,Arts,Creativity,Gaming,Extrovert,134,Designer,Private
70,Medical,Analysis,Reading,Introvert,123,Government Doctor,Public
63,Medical,Coding,Gaming,Introvert,104,Government Doctor,Public
99,Arts,Coding,Gaming,Ambivert,84,Civil Services,Public
88,Tech,Communication,Reading,Ambivert,113,Government IT Officer,Public
97,Medical,Coding,Gaming,Introvert,117,Government Doctor,Public
75,Arts,Coding,Music,Ambivert,123,Writer,Private
54,Medical,Creativity,Sports,Extrovert,113,Government Doctor,Public
76,Arts,Creativity,Sports,Extrovert,111,Designer,Private
54,Tech,Communication,Sports,Extrovert,129,Government IT Officer,Public
60,Medical,Creativity,Sports,Introvert,115,Government Doctor,Public
82,Arts,Coding,Reading,Extrovert,135,Writer,Private
74,Arts,Communication,Reading,Introvert,103,Designer,Private
83,Arts,Creativity,Music,Introvert,94,Civil Services,Public
88,Medical,Creativity,Gaming,Ambivert,105,Doctor,Private
86,Arts,Analysis,Gaming,Ambivert,95,Animator,Private
74,Commerce,Creativity,Music,Introvert,122,Bank Officer,Public
50,Commerce,Analysis,Gaming,Ambivert,121,Bank Officer,Public
57,Commerce,Communication,Reading,Ambivert,125,Auditor,Private
82,Tech,Analysis,Reading,Introvert,103,Government IT Officer,Public
61,Arts,Coding,Music,Ambivert,102,Animator,Private
85,Medical,Creativity,Sports,Extrovert,88,Surgeon,Private
86,Tech,Creativity,Gaming,Ambivert,97,AI Engineer,Private
62,Commerce,Analysis,Sports,Extrovert,92,Bank Officer,Public
95,Arts,Analysis,Music,Ambivert,100,Animator,Private
65,Tech,Analysis,Music,Introvert,83,Software Engineer,Private
81,Commerce,Creativity,Drawing,Extrovert,80,Financial Analyst,Private
82,Tech,Communication,Music,Introvert,107,Government IT Officer,Public
54,Medical,Analysis,Gaming,Extrovert,96,Nurse,Private
90,Medical,Coding,Gaming,Ambivert,97,Government Doctor,Public
98,Arts,Creativity,Reading,Ambivert,115,Civil Services,Public
63,Commerce,Analysis,Music,Extrovert,104,Financial Analyst,Private
59,Medical,Coding,Gaming,Ambivert,123,Doctor,Private
94,Arts,Communication,Sports,Introvert,88,Animator,Private
62,Commerce,Creativity,Gaming,Extrovert,95,Auditor,Private
84,Medical,Coding,Drawing,Ambivert,135,Surgeon,Private
98,Arts,Analysis,Music,Extrovert,121,Civil Services,Public
79,Arts,Communication,Drawing,Ambivert,116,Designer,Private
55,Medical,Analysis,Gaming,Ambivert,113,Doctor,Private
66,Commerce,Communication,Sports,Extrovert,137,Bank Officer,Public
83,Medical,Creativity,Gaming,Introvert,105,Surgeon,Private
99,Commerce,Creativity,Reading,Extrovert,82,Financial Analyst,Private
100,Medical,Analysis,Music,Extrovert,97,Government Doctor,Public
92,Arts,Analysis,Sports,Extrovert,130,Designer,Private
57,Tech,Creativity,Gaming,Introvert,82,Government IT Officer,Public
84,Arts,Creativity,Music,Ambivert,92,Designer,Private
72,Commerce,Creativity,Sports,Extrovert,140,Auditor,Private
88,Tech,Communication,Reading,Extrovert,94,Government IT Officer,Public
63,Medical,Analysis,Sports,Extrovert,126,Government Doctor,Public
84,Medical,Coding,Gaming,Extrovert,136,Doctor,Private
81,Medical,Creativity,Sports,Ambivert,104,Doctor,Private
75,Arts,Analysis,Drawing,Extrovert,88,Civil Services,Public
58,Commerce,Creativity,Reading,Introvert,112,Financial Analyst,Private
82,Commerce,Communication,Sports,Ambivert,102,Bank Officer,Public
59,Commerce,Coding,Reading,Introvert,114,Bank Officer,Public
72,Arts,Communication,Reading,Extrovert,85,Civil Services,Public
